region_origin,period_first_mobility,sum_mobile_origin_period,region_destination,n_mobile,prop_mobile
Middle East & North Africa,1,887,Western & Northern Europe,240,0.270574972
Middle East & North Africa,1,887,CA,108,0.121758737
Middle East & North Africa,1,887,Middle East & North Africa,58,0.065388952
Middle East & North Africa,1,887,Southern Europe,34,0.038331454
Middle East & North Africa,1,887,Eastern Asia,24,0.027057497
Middle East & North Africa,1,887,Oceania,17,0.019165727
Middle East & North Africa,1,887,Central Asia & Eastern Europe,16,0.018038331
Middle East & North Africa,1,887,South Asia,10,0.011273957
Middle East & North Africa,1,887,Latin America & Caribbean,6,0.006764374
Middle East & North Africa,1,887,South-eastern Asia,4,0.004509583
Middle East & North Africa,1,887,Sub-Saharan Africa,3,0.003382187
Middle East & North Africa,2,4763,US,1775,0.372664287
Middle East & North Africa,2,4763,Western & Northern Europe,1298,0.272517321
Middle East & North Africa,2,4763,CA,677,0.142137308
Middle East & North Africa,2,4763,Middle East & North Africa,341,0.071593533
Middle East & North Africa,2,4763,Southern Europe,148,0.031072853
Middle East & North Africa,2,4763,Eastern Asia,137,0.028763384
Middle East & North Africa,2,4763,Oceania,134,0.028133529
Middle East & North Africa,2,4763,Central Asia & Eastern Europe,77,0.016166282
Middle East & North Africa,2,4763,South-eastern Asia,71,0.014906571
Middle East & North Africa,2,4763,South Asia,51,0.010707537
Middle East & North Africa,2,4763,Sub-Saharan Africa,39,0.008188117
Middle East & North Africa,2,4763,Latin America & Caribbean,15,0.003149276
Middle East & North Africa,3,11201,US,3649,0.325774484
Middle East & North Africa,3,11201,Western & Northern Europe,2855,0.254887956
Middle East & North Africa,3,11201,CA,1581,0.141148112
Middle East & North Africa,3,11201,Middle East & North Africa,1231,0.109900902
Middle East & North Africa,3,11201,Oceania,519,0.046335149
Middle East & North Africa,3,11201,South-eastern Asia,348,0.031068655
Middle East & North Africa,3,11201,Southern Europe,340,0.030354433
Middle East & North Africa,3,11201,Eastern Asia,257,0.02294438
Middle East & North Africa,3,11201,Central Asia & Eastern Europe,167,0.014909383
Middle East & North Africa,3,11201,South Asia,122,0.010891885
Middle East & North Africa,3,11201,Sub-Saharan Africa,95,0.008481386
Middle East & North Africa,3,11201,Latin America & Caribbean,37,0.003303276
Middle East & North Africa,4,18613,US,5919,0.318003546
Middle East & North Africa,4,18613,Western & Northern Europe,4453,0.23924139
Middle East & North Africa,4,18613,CA,2211,0.118787944
Middle East & North Africa,4,18613,Middle East & North Africa,2073,0.111373771
Middle East & North Africa,4,18613,Oceania,1096,0.058883576
Middle East & North Africa,4,18613,Eastern Asia,621,0.033363778
Middle East & North Africa,4,18613,Southern Europe,614,0.032987697
Middle East & North Africa,4,18613,Central Asia & Eastern Europe,538,0.028904529
Middle East & North Africa,4,18613,South-eastern Asia,406,0.021812712
Middle East & North Africa,4,18613,South Asia,340,0.018266803
Middle East & North Africa,4,18613,Sub-Saharan Africa,237,0.012733036
Middle East & North Africa,4,18613,Latin America & Caribbean,105,0.005641219
Middle East & North Africa,5,30845,US,7828,0.253785054
Middle East & North Africa,5,30845,Western & Northern Europe,7808,0.253136651
Middle East & North Africa,5,30845,CA,3827,0.124071973
Middle East & North Africa,5,30845,Middle East & North Africa,3820,0.123845032
Middle East & North Africa,5,30845,Central Asia & Eastern Europe,1471,0.047690063
Middle East & North Africa,5,30845,Southern Europe,1467,0.047560383
Middle East & North Africa,5,30845,Oceania,1280,0.041497812
Middle East & North Africa,5,30845,Eastern Asia,1116,0.036180905
Middle East & North Africa,5,30845,South-eastern Asia,877,0.028432485
Middle East & North Africa,5,30845,South Asia,765,0.024801426
Middle East & North Africa,5,30845,Sub-Saharan Africa,427,0.013843411
Middle East & North Africa,5,30845,Latin America & Caribbean,159,0.005154806
Oceania,1,1094,Western & Northern Europe,396,0.361974406
Oceania,1,1094,US,339,0.309872029
Oceania,1,1094,Oceania,81,0.074040219
Oceania,1,1094,Eastern Asia,80,0.073126143
Oceania,1,1094,CA,65,0.059414991
Oceania,1,1094,South-eastern Asia,52,0.047531993
Oceania,1,1094,Middle East & North Africa,21,0.019195612
Oceania,1,1094,Latin America & Caribbean,15,0.013711152
Oceania,1,1094,Southern Europe,13,0.011882998
Oceania,1,1094,Central Asia & Eastern Europe,13,0.011882998
Oceania,1,1094,South Asia,12,0.010968921
Oceania,1,1094,Sub-Saharan Africa,7,0.006398537
Oceania,2,4224,Western & Northern Europe,1561,0.369554924
Oceania,2,4224,US,953,0.22561553
Oceania,2,4224,Oceania,398,0.094223485
Oceania,2,4224,South-eastern Asia,331,0.078361742
Oceania,2,4224,Eastern Asia,310,0.073390152
Oceania,2,4224,CA,255,0.060369318
Oceania,2,4224,Middle East & North Africa,143,0.033854167
Oceania,2,4224,South Asia,75,0.017755682
Oceania,2,4224,Southern Europe,67,0.015861742
Oceania,2,4224,Central Asia & Eastern Europe,47,0.011126894
Oceania,2,4224,Latin America & Caribbean,45,0.010653409
Oceania,2,4224,Sub-Saharan Africa,39,0.009232955
Oceania,3,7011,Western & Northern Europe,2286,0.32605905
Oceania,3,7011,US,1369,0.195264584
