region_origin,period_first_mobility,region_destination,n_outgoing,n_incoming,gain_index_stand
South-eastern Asia,1,Central Asia & Eastern Europe,1,1,0
South-eastern Asia,2,Central Asia & Eastern Europe,18,31,0.265306122
South-eastern Asia,3,Central Asia & Eastern Europe,87,110,0.116751269
South-eastern Asia,4,Central Asia & Eastern Europe,265,240,-0.04950495
South-eastern Asia,5,Central Asia & Eastern Europe,594,501,-0.084931507
South-eastern Asia,1,Eastern Asia,119,209,0.274390244
South-eastern Asia,2,Eastern Asia,719,1005,0.165893271
South-eastern Asia,3,Eastern Asia,1323,2678,0.338665334
South-eastern Asia,4,Eastern Asia,2827,4255,0.201637955
South-eastern Asia,5,Eastern Asia,4315,5531,0.12350193
South-eastern Asia,2,Latin America & Caribbean,10,3,-0.538461538
South-eastern Asia,3,Latin America & Caribbean,22,19,-0.073170732
South-eastern Asia,4,Latin America & Caribbean,52,68,0.133333333
South-eastern Asia,5,Latin America & Caribbean,119,108,-0.04845815
South-eastern Asia,1,Middle East & North Africa,9,4,-0.384615385
South-eastern Asia,2,Middle East & North Africa,69,71,0.014285714
South-eastern Asia,3,Middle East & North Africa,595,348,-0.261930011
South-eastern Asia,4,Middle East & North Africa,1421,406,-0.555555556
South-eastern Asia,5,Middle East & North Africa,1634,877,-0.301473517
South-eastern Asia,1,Oceania,52,52,0
South-eastern Asia,2,Oceania,289,331,0.067741935
South-eastern Asia,3,Oceania,660,810,0.102040816
South-eastern Asia,4,Oceania,1140,1240,0.042016807
South-eastern Asia,5,Oceania,1327,1012,-0.134672937
South-eastern Asia,1,South Asia,12,25,0.351351351
South-eastern Asia,2,South Asia,90,202,0.383561644
South-eastern Asia,3,South Asia,299,745,0.427203065
South-eastern Asia,4,South Asia,928,1240,0.143911439
South-eastern Asia,5,South Asia,1775,1775,0
South-eastern Asia,1,South-eastern Asia,13,13,0
South-eastern Asia,2,South-eastern Asia,172,172,0
South-eastern Asia,3,South-eastern Asia,511,511,0
South-eastern Asia,4,South-eastern Asia,1162,1162,0
South-eastern Asia,5,South-eastern Asia,2140,2140,0
South-eastern Asia,1,Southern Europe,5,5,0
South-eastern Asia,2,Southern Europe,19,35,0.296296296
South-eastern Asia,3,Southern Europe,73,94,0.125748503
South-eastern Asia,4,Southern Europe,134,203,0.204747774
South-eastern Asia,5,Southern Europe,199,196,-0.007594937
South-eastern Asia,1,Sub-Saharan Africa,3,2,-0.2
